dbn,schoolName,cohortYear,cohort,numTotalCohort,numGrads,pctGrad
01M292,ORCHARD COLLEGIATE ACADEMY,2016,4 year August,31,29.0,0.9354838562000001
01M292,ORCHARD COLLEGIATE ACADEMY,2015,4 year August,28,25.0,0.892857132
01M292,ORCHARD COLLEGIATE ACADEMY,2014,4 year August,29,28.0,0.9655172729
01M292,ORCHARD COLLEGIATE ACADEMY,2013,4 year August,36,25.0,0.6944444274999999
01M292,ORCHARD COLLEGIATE ACADEMY,2012,4 year August,44,24.0,0.5454545593
01M292,ORCHARD COLLEGIATE ACADEMY,2011,4 year August,73,46.0,0.6301369858
01M292,ORCHARD COLLEGIATE ACADEMY,2010,4 year August,61,26.0,0.4262295151
01M292,ORCHARD COLLEGIATE ACADEMY,2009,4 year August,85,49.0,0.5764706039
01M292,ORCHARD COLLEGIATE ACADEMY,2008,4 year August,70,36.0,0.5142856979
01M292,ORCHARD COLLEGIATE ACADEMY,2007,4 year August,77,45.0,0.5844155884
01M292,ORCHARD COLLEGIATE ACADEMY,2006,4 year August,78,44.0,0.5641025543
01M292,ORCHARD COLLEGIATE ACADEMY,2005,4 year August,64,44.0,0.6875
01M292,ORCHARD COLLEGIATE ACADEMY,2016,4 year June,31,29.0,0.9354838562000001
01M292,ORCHARD COLLEGIATE ACADEMY,2015,4 year June,28,25.0,0.892857132
01M292,ORCHARD COLLEGIATE ACADEMY,2014,4 year June,29,25.0,0.8620689391999999
01M292,ORCHARD COLLEGIATE ACADEMY,2013,4 year June,36,24.0,0.6666666412
01M292,ORCHARD COLLEGIATE ACADEMY,2012,4 year June,44,23.0,0.5227272797
01M292,ORCHARD COLLEGIATE ACADEMY,2011,4 year June,73,46.0,0.6301369858
01M292,ORCHARD COLLEGIATE ACADEMY,2010,4 year June,61,24.0,0.39344261170000006
01M292,ORCHARD COLLEGIATE ACADEMY,2009,4 year June,85,47.0,0.5529411697
01M292,ORCHARD COLLEGIATE ACADEMY,2008,4 year June,70,35.0,0.5
01M292,ORCHARD COLLEGIATE ACADEMY,2007,4 year June,77,41.0,0.5324675369
01M292,ORCHARD COLLEGIATE ACADEMY,2006,4 year June,78,43.0,0.5512820435
01M292,ORCHARD COLLEGIATE ACADEMY,2005,4 year June,64,43.0,0.671875
01M292,ORCHARD COLLEGIATE ACADEMY,2004,4 year June,55,37.0,0.6727272797
01M292,ORCHARD COLLEGIATE ACADEMY,2003,4 year June,5,,
01M292,ORCHARD COLLEGIATE ACADEMY,2015,5 year August,27,25.0,0.9259259032999999
01M292,ORCHARD COLLEGIATE ACADEMY,2014,5 year August,29,28.0,0.9655172729
01M292,ORCHARD COLLEGIATE ACADEMY,2013,5 year August,36,27.0,0.75
01M292,ORCHARD COLLEGIATE ACADEMY,2012,5 year August,41,28.0,0.6829268646
01M292,ORCHARD COLLEGIATE ACADEMY,2011,5 year August,68,48.0,0.7058823395
01M292,ORCHARD COLLEGIATE ACADEMY,2010,5 year August,55,28.0,0.5090909195
01M292,ORCHARD COLLEGIATE ACADEMY,2009,5 year August,82,57.0,0.6951219177
01M292,ORCHARD COLLEGIATE ACADEMY,2008,5 year August,68,40.0,0.5882352828999999
01M292,ORCHARD COLLEGIATE ACADEMY,2007,5 year August,77,51.0,0.6623376464999999
01M292,ORCHARD COLLEGIATE ACADEMY,2006,5 year August,71,44.0,0.6197183228
01M292,ORCHARD COLLEGIATE ACADEMY,2015,5 year June,27,25.0,0.9259259032999999
01M292,ORCHARD COLLEGIATE ACADEMY,2014,5 year June,29,28.0,0.9655172729
01M292,ORCHARD COLLEGIATE ACADEMY,2013,5 year June,36,27.0,0.75
01M292,ORCHARD COLLEGIATE ACADEMY,2012,5 year June,41,28.0,0.6829268646
01M292,ORCHARD COLLEGIATE ACADEMY,2011,5 year June,68,48.0,0.7058823395
01M292,ORCHARD COLLEGIATE ACADEMY,2010,5 year June,55,28.0,0.5090909195
01M292,ORCHARD COLLEGIATE ACADEMY,2009,5 year June,82,55.0,0.6707317352
01M292,ORCHARD COLLEGIATE ACADEMY,2008,5 year June,68,39.0,0.5735293961
01M292,ORCHARD COLLEGIATE ACADEMY,2007,5 year June,77,51.0,0.6623376464999999
01M292,ORCHARD COLLEGIATE ACADEMY,2006,5 year June,71,44.0,0.6197183228
01M292,ORCHARD COLLEGIATE ACADEMY,2005,5 year June,66,46.0,0.6969696808000001
01M292,ORCHARD COLLEGIATE ACADEMY,2004,5 year June,58,39.0,0.6724137878
01M292,ORCHARD COLLEGIATE ACADEMY,2003,5 year June,5,,
01M292,ORCHARD COLLEGIATE ACADEMY,2014,6 year June,29,28.0,0.9655172729
01M292,ORCHARD COLLEGIATE ACADEMY,2013,6 year June,36,27.0,0.75
01M292,ORCHARD COLLEGIATE ACADEMY,2012,6 year June,41,28.0,0.6829268646
01M292,ORCHARD COLLEGIATE ACADEMY,2011,6 year June,68,49.0,0.7205882263
01M292,ORCHARD COLLEGIATE ACADEMY,2010,6 year June,54,30.0,0.5555555725
01M292,ORCHARD COLLEGIATE ACADEMY,2009,6 year June,82,61.0,0.7439024353000001
01M292,ORCHARD COLLEGIATE ACADEMY,2008,6 year June,68,40.0,0.5882352828999999
