type,desc,zip,boroughBlockLot,censusTract,geoDis,dbn
General Academic,Elementary,10009,1003740020.0,2601.0,1,01M015
General Academic,Elementary,10003,1004530034.0,4000.0,1,01M019
General Academic,Elementary,10002,1003550001.0,3001.0,1,01M020
General Academic,K-8,10009,1003810038.0,2800.0,1,01M034
General Academic,Elementary,10009,1004310014.0,3200.0,1,01M063
General Academic,Elementary,10009,1003870001.0,2601.0,1,01M064
General Academic,Elementary,10002,1003310140.0,1200.0,1,01M110
General Academic,Elementary,10002,1002880001.0,202.0,1,01M134
General Academic,K-8,10002,1003440001.0,2201.0,1,01M140
General Academic,Elementary,10002,1003430001.0,1402.0,1,01M142
General Academic,K-8,10002,1002450007.0,201.0,1,01M184
General Academic,K-8,10002,1003560100.0,2000.0,1,01M188
General Academic,High school,10002,1002690041.0,201.0,1,01M292
General Academic,Elementary,10009,1003940012.0,2800.0,1,01M315
General Academic,Junior High-Intermediate-Middle,10002,1002690041.0,201.0,1,01M332
General Academic,Elementary,10009,1003940012.0,2800.0,1,01M361
General Academic,Elementary,10009,1004310014.0,3200.0,1,01M363
General Academic,Elementary,10009,1003870001.0,2601.0,1,01M364
General Academic,Junior High-Intermediate-Middle,10002,1003540080.0,3001.0,1,01M378
General Academic,High school,10002,1002590044.0,202.0,1,01M448
General Academic,Secondary School,10009,1004390017.0,3400.0,1,01M450
Transfer School,High school,10002,1004220072.0,3601.0,1,01M458
Transfer School,High school,10002,1003540080.0,3001.0,1,01M515
General Academic,K-12 all grades,10002,1003350001.0,2201.0,1,01M539
Transfer School,High school,10002,1004220072.0,3601.0,1,01M650
General Academic,High school,10002,1003250025.0,1002.0,1,01M696
General Academic,Junior High-Intermediate-Middle,10009,1003870001.0,2601.0,1,01M839
General Academic,Elementary,10038,1002790040.0,2700.0,2,02M001
General Academic,Elementary,10002,1002730001.0,600.0,2,02M002
General Academic,Elementary,10014,1005850041.0,7300.0,2,02M003
General Academic,Elementary,10028,1014930021.0,14200.0,2,02M006
General Academic,Elementary,10011,1007440024.0,8900.0,2,02M011
General Academic,Elementary,10001,1007240023.0,9700.0,2,02M033
General Academic,Elementary,10003,1009250012.0,6400.0,2,02M040
General Academic,Elementary,10011,1006060049.0,7100.0,2,02M041
General Academic,Elementary,10002,1003090001.0,1600.0,2,02M042
Special Education,High school,10010,1009040024.0,6400.0,2,02M047
General Academic,Elementary,10036,1010730014.0,12900.0,2,02M051
General Academic,Elementary,10019,1013300013.0,10800.0,2,02M059
General Academic,Elementary,10128,1015240023.0,15801.0,2,02M077
General Academic,Elementary,10282,1000160221.0,31703.0,2,02M089
General Academic,Junior High-Intermediate-Middle,10010,1009260001.0,6400.0,2,02M104
General Academic,Elementary,10019,1010620003.0,13300.0,2,02M111
General Academic,Junior High-Intermediate-Middle,10128,1015540032.0,15400.0,2,02M114
General Academic,Elementary,10016,1009130007.0,7000.0,2,02M116
General Academic,Elementary,10002,1002890001.0,1600.0,2,02M124
General Academic,K-8,10038,1001110160.0,2500.0,2,02M126
General Academic,Elementary,10013,1002360038.0,4100.0,2,02M130
General Academic,Junior High-Intermediate-Middle,10002,1003010003.0,1600.0,2,02M131
Career Technical,High school,10038,1001130100.0,2900.0,2,02M135
Career Technical,High school,10019,1010590015.0,12700.0,2,02M139
General Academic,Elementary,10013,1001420025.0,3900.0,2,02M150
General Academic,Elementary,10128,1015680008.0,14402.0,2,02M151
General Academic,Elementary,10075,1014890001.0,13200.0,2,02M158
General Academic,Junior High-Intermediate-Middle,10021,1014300005.0,13400.0,2,02M167
General Academic,Junior High-Intermediate-Middle,10075,1014890001.0,13200.0,2,02M177
General Academic,Elementary,10065,1014610007.0,11600.0,2,02M183
General Academic,Elementary,10128,1015240023.0,15801.0,2,02M198
General Academic,Elementary,10036,1010380014.0,12700.0,2,02M212
General Academic,K-8,10044,1013730001.0,23801.0,2,02M217
General Academic,K-8,10065,1014420001.0,11800.0,2,02M225
General Academic,Elementary,10007,1001420025.0,3900.0,2,02M234
General Academic,Junior High-Intermediate-Middle,10003,1009250012.0,6400.0,2,02M255
General Academic,Secondary School,10003,1008420034.0,5200.0,2,02M260
General Academic,Elementary,10065,1014180007.0,11000.0,2,02M267
General Academic,K-8,10280,1000160040.0,31704.0,2,02M276
Career Technical,High school,10038,1001130100.0,2900.0,2,02M280
General Academic,Elementary,10016,1009670001.0,8601.0,2,02M281
Career Technical,High school,10038,1001130100.0,2900.0,2,02M282
Career Technical,High school,10019,1010790029.0,13500.0,2,02M288
General Academic,Junior High-Intermediate-Middle,10282,1000160221.0,31703.0,2,02M289
General Academic,Elementary,10028,1015450005.0,13800.0,2,02M290
General Academic,High school,10002,1004080030.0,1800.0,2,02M294
General Academic,High school,10019,1010790029.0,13500.0,2,02M296
General Academic,Junior High-Intermediate-Middle,10014,1006030049.0,6900.0,2,02M297
General Academic,High school,10002,1003010003.0,1600.0,2,02M298
General Academic,High school,10019,1010790029.0,13500.0,2,02M300
General Academic,High school,10019,1010790029.0,13500.0,2,02M303
General Academic,High school,10002,1004080030.0,1800.0,2,02M305
General Academic,High school,10002,1004080030.0,1800.0,2,02M308
General Academic,Junior High-Intermediate-Middle,10011,1007410010.0,8300.0,2,02M312
Transfer School,High school,10011,1007420007.0,8900.0,2,02M313
General Academic,High school,10004,1000220013.0,900.0,2,02M316
General Academic,Elementary,10011,1008187501.0,5400.0,2,02M340
General Academic,Elementary,10038,1001060009.0,1501.0,2,02M343
General Academic,K-8,10010,1009040024.0,6400.0,2,02M347
General Academic,High school,10003,1008720057.0,5000.0,2,02M374
General Academic,High school,10013,1004910016.0,3700.0,2,02M376
General Academic,District Pre-K Center,10004,1000157501.0,1300.0,2,02M391
General Academic,High school,10011,1007420007.0,8900.0,2,02M392
Career Technical,High school,10019,1010590015.0,12700.0,2,02M393
Transfer School,High school,10002,1003010003.0,1600.0,2,02M394
General Academic,K-8,10038,1001000001.0,1501.0,2,02M397
General Academic,High school,10003,1008720057.0,5000.0,2,02M399
General Academic,High school,10019,1010650001.0,13900.0,2,02M400
General Academic,Secondary School,10003,1009220008.0,4800.0,2,02M407
General Academic,Secondary School,10036,1010380014.0,12700.0,2,02M408
General Academic,High school,10010,1008550016.0,5600.0,2,02M411
General Academic,High school,10011,1007410010.0,8300.0,2,02M412
General Academic,Secondary School,10010,1008780016.0,6800.0,2,02M413
General Academic,High school,10011,1007410010.0,8300.0,2,02M414
General Academic,High school,10021,1014710005.0,13200.0,2,02M416
General Academic,High school,10004,1000290070.0,900.0,2,02M418
General Academic,High school,10011,1007420007.0,8900.0,2,02M419
General Academic,High school,10003,1009220008.0,4800.0,2,02M420
General Academic,Secondary School,10011,1007420007.0,8900.0,2,02M422
General Academic,High school,10006,1000510015.0,1300.0,2,02M425
General Academic,High school,10016,1008897501.0,7200.0,2,02M427
Transfer School,High school,10016,1008897501.0,7200.0,2,02M432
General Academic,High school,10011,1007420007.0,8900.0,2,02M437
General Academic,High school,10003,1008720057.0,5000.0,2,02M438
General Academic,High school,10010,1008240015.0,5800.0,2,02M439
General Academic,K-8,10003,1008487502.0,5200.0,2,02M442
General Academic,High school,10065,1014420001.0,11800.0,2,02M449
General Academic,High school,10065,1014420001.0,11800.0,2,02M459
General Academic,High school,10282,1000160215.0,31703.0,2,02M475
General Academic,High school,10006,1000520001.0,1300.0,2,02M489
General Academic,High school,10016,1008897501.0,7200.0,2,02M500
Career Technical,High school,10019,1010590015.0,12700.0,2,02M507
General Academic,High school,10065,1014420001.0,11800.0,2,02M519
General Academic,High school,10038,1001130100.0,2900.0,2,02M520
General Academic,Elementary,10128,1015540015.0,15400.0,2,02M527
General Academic,High school,10036,1009980041.0,11900.0,2,02M529
General Academic,High school,10036,1009960021.0,11900.0,2,02M531
Career Technical,High school,10003,1008720057.0,5000.0,2,02M533
General Academic,High school,10011,1005770019.0,6300.0,2,02M534
General Academic,High school,10019,1010790029.0,13500.0,2,02M542
General Academic,High school,10002,1004080030.0,1800.0,2,02M543
Transfer School,High school,10019,1010650001.0,13900.0,2,02M544
General Academic,High school,10002,1004080030.0,1800.0,2,02M545
Career Technical,High school,10003,1008720057.0,5000.0,2,02M546
Transfer School,High school,10011,1007670068.0,8100.0,2,02M550
Career Technical,High school,10004,1000010010.0,500.0,2,02M551
Transfer School,High school,10014,1005810054.0,6700.0,2,02M560
Transfer School,High school,10065,1014420001.0,11800.0,2,02M565
Transfer School,High school,10001,1008050071.0,9500.0,2,02M570
Transfer School,High school,10003,1009210064.0,4800.0,2,02M575
General Academic,High school,10004,1000220013.0,900.0,2,02M580
Transfer School,High school,10003,1005450026.0,5700.0,2,02M586
Career Technical,High school,10011,1007740019.0,9100.0,2,02M600
Transfer School,High school,10011,1007420007.0,8900.0,2,02M605
Career Technical,High school,10013,1004910016.0,3700.0,2,02M615
Career Technical,High school,10019,1013300013.0,10800.0,2,02M630
General Academic,High school,10128,1015580034.0,15601.0,2,02M655
General Academic,Junior High-Intermediate-Middle,10004,1000220013.0,900.0,2,02M896
General Academic,Junior High-Intermediate-Middle,10019,1010620003.0,13300.0,2,02M933
General Academic,Elementary,10024,1012140029.0,16900.0,3,03M009
General Academic,Junior High-Intermediate-Middle,10025,1018620011.0,19300.0,3,03M054
General Academic,Elementary,10025,1012530065.0,18300.0,3,03M075
General Academic,K-8,10027,1019260017.0,22000.0,3,03M076
General Academic,Elementary,10025,1012050006.0,17700.0,3,03M084
General Academic,Elementary,10024,1011490007.0,16100.0,3,03M087
General Academic,Elementary,10025,1018590001.0,18900.0,3,03M145
General Academic,K-8,10026,1016010001.0,19000.0,3,03M149
General Academic,Elementary,10025,1018520099.0,18500.0,3,03M163
General Academic,Elementary,10025,1018800013.0,19500.0,3,03M165
General Academic,Elementary,10024,1012190047.0,17300.0,3,03M166
General Academic,K-8,10027,1019460001.0,25700.0,3,03M180
General Academic,Elementary,10026,1015950015.0,18600.0,3,03M185
General Academic,K-8,10023,1011717510.0,15100.0,3,03M191
General Academic,Elementary,10023,1011580040.0,15500.0,3,03M199
General Academic,Elementary,10026,1018280015.0,21600.0,3,03M241
General Academic,Elementary,10027,1019060011.0,22000.0,3,03M242
General Academic,Junior High-Intermediate-Middle,10024,1012140029.0,16900.0,3,03M243
General Academic,Junior High-Intermediate-Middle,10024,1011480014.0,16100.0,3,03M245
General Academic,Junior High-Intermediate-Middle,10024,1011480014.0,16100.0,3,03M247
General Academic,Junior High-Intermediate-Middle,10025,1012530065.0,18300.0,3,03M250
General Academic,Junior High-Intermediate-Middle,10025,1012230005.0,17700.0,3,03M256
General Academic,Junior High-Intermediate-Middle,10025,1012230005.0,17700.0,3,03M258
General Academic,Secondary School,10023,1011540108.0,15100.0,3,03M291
General Academic,High school,10023,1011570025.0,15100.0,3,03M299
General Academic,High school,10023,1011570025.0,15100.0,3,03M307
General Academic,K-8,10025,1012230005.0,17700.0,3,03M333
General Academic,K-8,10024,1011480014.0,16100.0,3,03M334
Career Technical,High school,10024,1012150001.0,16900.0,3,03M402
General Academic,High school,10024,1012150001.0,16900.0,3,03M403
Transfer School,High school,10024,1012150001.0,16900.0,3,03M404
General Academic,Secondary School,10026,1018300019.0,21800.0,3,03M415
General Academic,High school,10024,1012150001.0,16900.0,3,03M417
General Academic,Junior High-Intermediate-Middle,10025,1018590001.0,18900.0,3,03M421
General Academic,Elementary,10023,1011520029.0,14700.0,3,03M452
General Academic,High school,10036,1010720015.0,12900.0,2,03M479
General Academic,High school,10023,1011560030.0,15100.0,3,03M485
General Academic,High school,10023,1011570025.0,15100.0,3,03M492
General Academic,High school,10023,1011570025.0,15100.0,3,03M494
Transfer School,High school,10025,1018550009.0,18900.0,3,03M505
General Academic,High school,10023,1011570025.0,15100.0,3,03M541
General Academic,K-12 all grades,10023,1011390008.0,15300.0,3,03M859
General Academic,Secondary School,10026,1018300019.0,21800.0,3,03M860
General Academic,Junior High-Intermediate-Middle,10025,1018800013.0,19500.0,3,03M862
General Academic,K-8,10035,1017680021.0,19600.0,4,04M007
General Academic,K-8,10029,1016560100.0,17000.0,4,04M012
General Academic,Elementary,10035,1017970100.0,19400.0,4,04M037
General Academic,Elementary,10029,1016520016.0,16400.0,4,04M038
