dbn,sqrEnrollment,econNeedInd,grd8Ela,grd8Math,attdRate,pctChronAbs,sqrYear,pct10PlusYear1,pct10PlusYear1Lowest3rd,pct10PlusYear2,pct10PlusYear2Lowest3rd,pct10PlusYear3,pct10PlusYear3Lowest3rd,numYear1,numYear1Lowest3rd,numYear2,numYear2Lowest3rd,numYear3,numYear3Lowest3rd,numGradLowest3rd,numPERLowest3rd,pctCCPCILowest3rd,pctCollegeReadyLowest3rd,pctGradLowest3rd,pctPERLowest3rd,pctGradLevel1,pctGradLevel2,pctGradLevel34,numGradLevel1,numGradLevel2,numGradLevel34
01M292,255.0,0.832,2.18,2.06,0.766,0.568,2015,0.857,0.867,0.568,0.438,0.7,0.333,,,,,,,,,0.25,0.281,1.75,0.152,,,,,,
01M448,304.0,0.812,2.27,2.37,0.88,0.347,2015,0.889,0.8,0.872,0.72,0.742,0.533,,,,,,,,,0.543,0.174,3.13,0.429,,,,,,
01M450,666.0,0.61,2.66,2.63,0.938,0.165,2015,0.946,0.828,0.87,0.818,0.824,0.7,,,,,,,,,0.368,0.316,2.737,0.625,,,,,,
01M509,363.0,0.767,2.28,2.09,0.768,0.647,2015,0.652,0.619,0.627,0.542,0.583,0.407,,,,,,,,,0.043,0.0,0.745,0.107,,,,,,
01M539,1735.0,0.257,3.5,3.53,0.952,0.13,2015,0.975,0.912,0.984,0.945,0.984,0.962,,,,,,,,,,,,,,,,,,
01M696,545.0,0.314,3.71,3.65,0.958,0.062,2015,0.984,0.973,0.952,0.882,0.963,0.974,,,,,,,,,,,,,,,,,,
02M047,169.0,0.733,2.4,2.24,0.881,0.451,2015,1.0,1.0,0.875,0.8,0.881,0.947,,,,,,,,,0.571,0.0,0.75,0.333,,,,,,
02M135,193.0,0.713,2.34,2.22,0.883,0.348,2015,0.716,0.552,0.663,0.438,,,,,,,,,,,,,,,,,,,,
02M139,193.0,0.714,2.3,2.27,0.881,0.403,2015,0.868,0.73,0.88,0.815,,,,,,,,,,,,,,,,,,,,
02M280,97.0,0.558,2.6,2.43,0.937,0.173,2015,0.928,0.844,,,,,,,,,,,,,,,,,,,,,,
02M282,103.0,0.616,2.72,2.62,0.908,0.321,2015,0.863,0.69,,,,,,,,,,,,,,,,,,,,,,
02M288,427.0,0.687,2.47,2.36,0.885,0.405,2015,0.81,0.667,0.795,0.647,0.714,0.656,,,,,,,,,0.167,0.0,1.917,0.457,,,,,,
02M294,358.0,0.633,2.48,2.25,0.863,0.318,2015,0.784,0.654,0.81,0.708,0.75,0.731,,,,,,,,,0.393,0.393,3.232,0.355,,,,,,
02M296,424.0,0.751,2.31,2.25,0.848,0.428,2015,0.824,0.657,0.758,0.516,0.7,0.559,,,,,,,,,0.2,0.029,1.743,0.348,,,,,,
02M298,423.0,0.665,2.6,2.47,0.927,0.203,2015,0.955,0.853,0.843,0.697,0.911,0.743,,,,,,,,,0.042,0.042,2.083,0.636,,,,,,
02M300,414.0,0.726,2.24,2.24,0.83,0.502,2015,0.775,0.424,0.709,0.5,0.714,0.556,,,,,,,,,0.049,0.073,1.024,0.216,,,,,,
02M303,406.0,0.811,2.17,2.09,0.83,0.492,2015,0.832,0.73,0.777,0.688,0.703,0.5,,,,,,,,,0.02,0.143,2.163,0.222,,,,,,
02M305,329.0,0.749,2.35,2.22,0.859,0.448,2015,0.855,0.8,0.767,0.63,0.747,0.4,,,,,,,,,0.077,0.154,2.058,0.786,,,,,,
02M308,383.0,0.695,2.38,2.22,0.897,0.311,2015,0.856,0.767,0.833,0.758,0.779,0.7,,,,,,,,,0.097,0.032,1.065,0.462,,,,,,
02M316,405.0,0.736,2.3,2.19,0.799,0.545,2015,0.664,0.486,0.606,0.481,0.643,0.452,,,,,,,,,0.048,0.048,2.19,0.389,,,,,,
02M374,530.0,0.662,2.49,2.25,0.865,0.42,2015,0.841,0.745,0.731,0.609,0.687,0.486,,,,,,,,,0.08,0.0,2.48,0.175,,,,,,
02M376,442.0,0.422,3.12,2.81,0.94,0.193,2015,0.956,0.865,0.973,0.944,0.947,0.919,,,,,,,,,,,,0.5,,,,,,
02M392,438.0,0.715,2.34,2.26,0.856,0.436,2015,0.841,0.684,0.812,0.605,0.79,0.677,,,,,,,,,0.514,0.371,2.843,0.375,,,,,,
02M393,449.0,0.714,2.22,2.16,0.847,0.475,2015,0.766,0.574,0.681,0.59,0.75,0.533,,,,,,,,,0.594,0.063,1.578,0.391,,,,,,
02M399,437.0,0.703,2.44,2.4,0.869,0.382,2015,0.881,0.75,0.875,0.727,0.86,0.75,,,,,,,,,0.0,0.0,1.735,0.15,,,,,,
02M400,1301.0,0.69,2.6,2.55,0.891,0.296,2015,0.75,0.48,0.767,0.519,0.707,0.5,,,,,,,,,0.037,0.037,1.659,0.286,,,,,,
02M407,482.0,0.258,2.87,2.38,0.917,0.204,2015,1.0,,0.966,0.938,0.959,0.905,,,,,,,,,0.125,0.0,1.5,0.563,,,,,,
02M408,536.0,0.33,3.05,2.71,0.944,0.133,2015,0.9,0.844,0.941,0.926,0.946,1.0,,,,,,,,,,,,,,,,,,
02M411,451.0,0.459,3.26,3.29,0.975,0.044,2015,1.0,1.0,0.983,0.949,0.982,0.971,,,,,,,,,,,,,,,,,,
02M412,587.0,0.325,3.28,3.17,0.942,0.153,2015,0.984,0.953,0.968,0.962,0.962,0.907,,,,,,,,,0.143,0.286,2.929,,,,,,,
02M413,713.0,0.358,3.05,2.77,0.941,0.164,2015,0.982,0.971,0.971,0.912,0.88,0.903,,,,,,,,,,,,0.714,,,,,,
02M414,471.0,0.593,3.18,3.13,0.948,0.145,2015,0.991,0.974,0.992,1.0,0.984,0.975,,,,,,,,,,,,0.6,,,,,,
02M416,541.0,0.204,3.61,3.61,0.965,0.072,2015,0.977,0.932,1.0,1.0,0.986,0.976,,,,,,,,,,,,,,,,,,
02M418,659.0,0.402,3.37,3.22,0.964,0.068,2015,0.973,0.931,0.993,0.978,0.994,0.982,,,,,,,,,,,,,,,,,,
02M419,355.0,0.804,2.23,2.07,0.819,0.534,2015,0.96,0.864,0.787,0.786,0.626,0.467,,,,,,,,,0.071,0.107,1.554,0.37,,,,,,
02M420,1664.0,0.67,2.71,2.61,0.916,0.222,2015,0.911,0.767,0.869,0.733,0.86,0.714,,,,,,,,,0.693,0.013,2.04,0.462,,,,,,
02M422,564.0,0.406,2.56,2.27,0.89,0.337,2015,0.837,0.679,0.716,0.652,0.721,0.607,,,,,,,,,,,,,,,,,,
02M425,699.0,0.751,2.33,2.18,0.792,0.583,2015,0.74,0.583,0.696,0.552,0.613,0.281,,,,,,,,,0.143,0.0,1.214,0.299,,,,,,
02M427,334.0,0.75,1.83,2.07,0.851,0.442,2015,0.808,0.75,0.586,0.533,0.61,0.5,,,,,,,,,0.043,0.065,1.587,0.273,,,,,,
02M429,19.0,0.729,2.19,2.03,0.828,0.55,2015,,,,,,,,,,,,,,,0.0,0.125,1.625,0.226,,,,,,
02M437,483.0,0.754,2.28,2.23,0.826,0.506,2015,0.84,0.686,0.712,0.525,0.871,0.756,,,,,,,,,0.0,0.0,1.407,0.548,,,,,,
02M438,353.0,0.742,1.76,2.17,0.835,0.402,2015,0.867,0.867,0.76,0.733,0.793,0.8,,,,,,,,,0.17,0.191,2.043,0.239,,,,,,
02M439,415.0,0.596,2.68,2.78,0.983,0.01,2015,1.0,1.0,0.99,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,
02M449,486.0,0.685,2.35,2.21,0.872,0.429,2015,0.885,0.857,0.733,0.6,0.735,0.621,,,,,,,,,0.163,0.233,2.093,0.438,,,,,,
02M459,343.0,0.681,1.87,2.26,0.903,0.299,2015,0.881,0.81,0.944,0.933,0.843,0.8,,,,,,,,,0.138,0.276,1.931,0.407,,,,,,
02M460,99.0,0.713,2.16,2.04,0.727,0.726,2015,,,,,,,,,,,,,,,0.157,0.0,0.833,0.173,,,,,,
02M475,3296.0,0.316,4.01,4.17,0.965,0.076,2015,0.987,0.97,0.983,0.969,0.986,0.977,,,,,,,,,,,,,,,,,,
02M489,796.0,0.668,2.55,2.55,0.887,0.3,2015,0.845,0.632,0.785,0.619,0.753,0.536,,,,,,,,,0.13,0.037,1.37,0.424,,,,,,
02M500,284.0,0.771,2.25,2.15,0.864,0.338,2015,0.819,0.739,0.714,0.654,0.753,0.571,,,,,,,,,0.08,0.04,2.16,0.316,,,,,,
02M507,472.0,0.636,2.49,2.4,0.896,0.333,2015,0.852,0.694,0.897,0.763,0.903,0.821,,,,,,,,,0.32,0.04,3.22,,,,,,,
02M519,506.0,0.459,3.0,2.66,0.934,0.176,2015,0.944,0.881,0.921,0.9,0.939,0.923,,,,,,,,,,,,0.733,,,,,,
02M520,971.0,0.711,2.33,2.18,0.729,0.65,2015,0.78,0.556,0.526,0.345,0.518,0.315,,,,,,,,,0.127,0.007,0.59,0.177,,,,,,
02M529,676.0,0.771,2.29,2.16,0.802,0.55,2015,0.738,0.604,0.727,0.62,0.627,0.444,,,,,,,,,0.029,0.0,0.978,0.229,,,,,,
02M531,246.0,0.624,2.71,2.46,0.928,0.263,2015,0.985,1.0,1.0,1.0,0.965,1.0,,,,,,,,,0.8,0.0,3.5,0.375,,,,,,
02M533,319.0,0.719,2.42,2.35,0.907,0.28,2015,0.939,0.838,0.806,0.767,0.881,0.742,,,,,,,,,,,,,,,,,,
02M534,333.0,0.511,2.63,2.42,0.909,0.294,2015,0.935,0.788,0.825,0.731,0.917,0.861,,,,,,,,,,,,,,,,,,
02M542,529.0,0.82,2.07,2.31,0.92,0.256,2015,0.976,0.975,0.789,0.579,0.854,0.833,,,,,,,,,0.809,0.298,2.649,0.657,,,,,,
02M543,441.0,0.745,2.34,2.16,0.848,0.417,2015,0.702,0.513,0.617,0.4,0.667,0.543,,,,,,,,,0.048,0.0,1.929,0.522,,,,,,
02M545,416.0,0.723,2.64,3.41,0.982,0.029,2015,1.0,1.0,0.971,0.969,0.991,0.971,,,,,,,,,0.875,0.625,3.719,0.875,,,,,,
02M546,344.0,0.615,2.5,2.46,0.925,0.22,2015,0.965,0.917,0.847,0.735,0.9,0.889,,,,,,,,,,,,,,,,,,
02M551,447.0,0.556,2.61,2.37,0.903,0.289,2015,0.886,0.771,0.771,0.758,0.673,0.486,,,,,,,,,0.259,0.0,1.315,0.333,,,,,,
02M580,566.0,0.764,2.3,2.17,0.853,0.427,2015,0.713,0.49,0.648,0.364,0.587,0.356,,,,,,,,,0.022,0.065,0.848,0.267,,,,,,
02M600,1770.0,0.657,2.66,2.45,0.937,0.18,2015,0.911,0.847,0.873,0.768,0.896,0.833,,,,,,,,,0.302,0.063,2.913,0.547,,,,,,
02M615,439.0,0.734,2.41,2.31,0.884,0.357,2015,0.739,0.514,0.699,0.5,0.79,0.647,,,,,,,,,0.167,0.0,1.967,0.581,,,,,,
02M625,336.0,0.727,2.24,2.04,0.664,0.791,2015,,,,,0.614,0.438,,,,,,,,,0.0,0.013,0.654,0.185,,,,,,
02M630,1476.0,0.554,2.76,2.55,0.911,0.247,2015,0.839,0.707,0.727,0.541,0.708,0.529,,,,,,,,,0.342,0.0,2.684,0.342,,,,,,
02M655,697.0,0.765,2.38,2.28,0.825,0.529,2015,0.65,0.408,0.662,0.5,0.684,0.4,,,,,,,,,0.0,0.0,1.707,0.3,,,,,,
03M283,53.0,0.787,2.23,2.15,0.825,0.482,2015,,,,,,,,,,,,,,,0.032,0.0,0.806,0.16,,,,,,
03M299,447.0,0.754,2.25,2.12,0.83,0.482,2015,0.655,0.514,0.631,0.35,0.579,0.382,,,,,,,,,0.132,0.026,2.118,0.38,,,,,,
03M307,412.0,0.723,2.25,2.13,0.841,0.551,2015,0.759,0.639,0.661,0.6,0.642,0.536,,,,,,,,,0.024,0.024,1.857,0.297,,,,,,
03M402,353.0,0.793,2.22,2.13,0.842,0.5,2015,0.932,0.864,0.778,0.677,0.667,0.484,,,,,,,,,0.0,0.0,1.267,0.316,,,,,,
03M403,496.0,0.766,2.28,2.16,0.872,0.368,2015,0.764,0.683,0.67,0.605,0.64,0.343,,,,,,,,,0.309,0.309,2.1,0.3,,,,,,
03M415,445.0,0.791,2.28,2.08,0.782,0.506,2015,0.71,0.636,0.618,0.414,0.646,0.441,,,,,,,,,0.022,0.022,1.88,0.102,,,,,,
03M417,387.0,0.444,2.89,2.65,0.938,0.156,2015,0.914,0.853,0.83,0.8,0.807,0.769,,,,,,,,,0.0,0.0,3.0,0.571,,,,,,
